dataset,parent_id,ref_state,n,r_cos_spatial,selected_median_km,remaining_median_km
candidate,000000000000000004c0,bad,100,0.009327473986870342,2.3250175051999764,1.7370053375415981
candidate,000000000000000004c0,good,100,-0.20371536541153737,1.876918325528595,2.570299619218835
candidate,000000000000000004c5,bad,100,0.2999037867344988,0.641793000286846,1.0632441417927694
candidate,000000000000000004c5,good,100,0.3480509411505287,1.5341310556507801,2.2631454251221883
candidate,000000000000000004d2,bad,100,0.4916151595317403,1.2984949443039981,2.3308680641261112
candidate,000000000000000004d2,good,100,0.46900263006763543,1.8913146218862185,2.370115918529447
candidate,000000000000000004d9,bad,100,0.10185531946814887,2.02485102404872,2.4390202079498313
candidate,000000000000000004d9,good,100,-0.09999915756253704,1.7465068646634865,2.170320740323578
candidate,000000000000000004e7,bad,100,0.3154536644646187,0.25922242034409065,2.341034400790175
candidate,000000000000000004e7,good,100,0.0971491751164503,0.504574334598052,2.2595943577299704
candidate,000000000000000004e9,bad,100,0.31142135187983694,0.3455020841985355,0.9657881705148145
