parent_id,parent_label,min_dist_m,n_good,n_bad,m_g,m_b,dor
00000000000000000625,stable_nature,500,98,93,0.04584571474319073,0.1397986687097395,0.7530455061918538
00000000000000000625,stable_nature,1000,96,90,0.04584571474319073,0.1397986687097395,0.7530455061918538
00000000000000000625,stable_nature,2000,71,78,0.05032052290312776,0.1397986687097395,0.735321182059679
00000000000000000627,stable_nature,0,98,100,0.02194028151628098,0.2840152048522568,0.9282893018928213
00000000000000000627,stable_nature,500,95,100,0.03444204651161427,0.2840152048522568,0.8918471902743631
00000000000000000627,stable_nature,1000,89,100,0.04017670861547449,0.2840152048522568,0.8760712190918063
00000000000000000627,stable_nature,2000,65,100,0.06410675030881711,0.2840152048522568,0.8158497349586263
00000000000000000628,stable_crop,0,100,100,0.015512073201098842,0.013076207230337622,0.4573974731093398
00000000000000000628,stable_crop,500,95,97,0.024536946066101906,0.01469536450773976,0.3745730060865544
00000000000000000628,stable_crop,1000,88,94,0.027317749692122528,0.01469536450773976,0.34978041469342325
00000000000000000628,stable_crop,2000,50,68,0.03649814614119866,0.020477870624556437,0.3594121138441018
00000000000000000629,stable_nature,0,100,100,0.08144907866982518,0.11293649233541803,0.5809921577553242
00000000000000000629,stable_nature,500,99,99,0.08144907866982518,0.11293649233541803,0.5809921577553242
00000000000000000629,stable_nature,1000,94,93,0.08144907866982518,0.11293649233541803,0.5809921577553242
00000000000000000629,stable_nature,2000,64,79,0.1094640001575921,0.12532342301143337,0.5337740042433117
0000000000000000062b,stable_built,0,100,100,0.06684314266370783,0.05165573323443344,0.43591749577776184
0000000000000000062b,stable_built,500,99,96,0.06834767237738026,0.05165573323443344,0.4304522273401027
0000000000000000062b,stable_built,1000,97,91,0.06834767237738026,0.05165573323443344,0.4304522273401027
0000000000000000062b,stable_built,2000,77,64,0.09907860011962207,0.05457175992671868,0.3551684480915289
0000000000000000062c,stable_nature,0,100,100,0.08583263460907713,0.15525410109136856,0.6439761218702235
0000000000000000062c,stable_nature,500,99,98,0.08583263460907713,0.15525410109136856,0.6439761218702235
0000000000000000062c,stable_nature,1000,98,81,0.08583263460907713,0.17338204785023537,0.6688743330609034
