parent_id,parent_label,min_dist_m,n_good,n_bad,dor_knn
000000000000000006b7,built_loss,0,200,200,0.38615439062469326
000000000000000006df,built_loss,0,200,200,0.30647255267748874
000000000000000006e3,built_loss,0,190,190,0.7561018347944324
00000000000000000011,crop_loss,0,200,200,0.5476246844928142
0000000000000000002b,crop_loss,0,198,200,0.36466613371591183
0000000000000000002d,crop_loss,0,175,173,0.5286838966415275
0000000000000000003a,crop_loss,0,200,200,0.16144420918077818
0000000000000000009b,crop_loss,0,200,200,0.6161638985462018
0000000000000000009d,crop_loss,0,200,200,0.4006862543405203
000000000000000000a8,crop_loss,0,174,167,0.28341128627308665
000000000000000000da,crop_loss,0,200,200,0.7055654287716906
000000000000000000e3,crop_loss,0,200,200,0.42718035645903446
000000000000000000e9,crop_loss,0,200,200,0.3824235413351857
0000000000000000011b,crop_loss,0,200,200,0.4683241276751134
00000000000000000128,crop_loss,0,200,200,0.620125694686433
0000000000000000016c,crop_loss,0,186,192,0.5519075294571643
00000000000000000192,crop_loss,0,200,200,0.485476525201472
00000000000000000196,crop_loss,0,200,200,0.44957932288056834
000000000000000001a6,crop_loss,0,200,200,0.31572749879971024
000000000000000001e4,crop_loss,0,200,200,0.5749906236110423
000000000000000001f9,crop_loss,0,200,200,0.6115920458288591
00000000000000000228,crop_loss,0,200,200,0.4918985913257153
00000000000000000281,crop_loss,0,200,200,0.5107881191983709
0000000000000000028c,crop_loss,0,200,200,0.5778108747985725
0000000000000000028d,crop_loss,0,200,200,0.698182344491889
00000000000000000291,crop_loss,0,200,200,0.7429357382301847
000000000000000002c5,crop_loss,0,200,200,0.35585733145310056
000000000000000002cc,crop_loss,0,200,200,0.3406519488167695
000000000000000002dc,crop_loss,0,200,200,0.4857255967382911
000000000000000002e4,crop_loss,0,200,200,0.37519788007100796
000000000000000002ec,crop_loss,0,200,200,0.4530434206074302
00000000000000000314,crop_loss,0,200,200,0.3241873597130462
00000000000000000335,crop_loss,0,200,200,0.46336832595533656
0000000000000000033a,crop_loss,0,200,200,0.49907022736011886
000000000000000003a2,crop_loss,0,200,200,0.5228433007226346
000000000000000003b0,crop_loss,0,200,200,0.46644959770050065
000000000000000003c7,crop_loss,0,200,200,0.6343087053737483
000000000000000003c8,crop_loss,0,200,200,0.030406936692085502
000000000000000003f1,crop_loss,0,152,138,0.6015053063748149
000000000000000003f2,crop_loss,0,200,200,0.44768415547099977
0000000000000000044b,crop_loss,0,200,200,0.6648320346439329
0000000000000000046c,crop_loss,0,200,200,0.4529218022564566
00000000000000000480,crop_loss,0,200,200,0.9651999663953595
00000000000000000483,crop_loss,0,200,200,0.6189443280957133
00000000000000000485,crop_loss,0,195,196,0.5822887673487769
00000000000000000497,crop_loss,0,190,187,0.2321513593984559
0000000000000000049b,crop_loss,0,200,200,0.43191114052877694
000000000000000004a1,crop_loss,0,200,200,0.4715659333031524
000000000000000004e7,crop_loss,0,200,200,0.4054187671990918
000000000000000004e9,crop_loss,0,200,200,0.40230180959328926
000000000000000004ee,crop_loss,0,200,200,0.487518681468226
000000000000000004f9,crop_loss,0,200,200,0.4350622058524876
00000000000000000517,crop_loss,0,200,200,0.7989822990244246
00000000000000000538,crop_loss,0,157,199,0.4162818114009302
0000000000000000057e,crop_loss,0,200,200,0.5373011738028711
000000000000000005d1,crop_loss,0,200,200,0.42835442308438637
00000000000000000611,crop_loss,0,200,200,0.7651416076240218
0000000000000000062f,crop_loss,0,200,200,0.6748648718322409
00000000000000000632,crop_loss,0,181,168,0.11040193805716988
0000000000000000063e,crop_loss,0,200,200,0.35224417729230195
00000000000000000655,crop_loss,0,200,200,0.661693045317384
00000000000000000697,crop_loss,0,171,165,0.5773764436982162
00000000000000000698,crop_loss,0,200,200,0.5344368117866838
000000000000000006a8,crop_loss,0,200,200,0.2760053869409018
000000000000000006b4,crop_loss,0,200,200,0.5847876494989719
000000000000000006be,crop_loss,0,200,200,0.3842782118880108
000000000000000006c0,crop_loss,0,200,200,0.3207463447186674
